63,Seu Polícia - Ao Vivo,Zé Neto & Cristiano,429066,https://open.spotify.com/track/7CmuLM2vfzA78iHeqastoP
64,Parece Piada - Ao Vivo,Henrique & Juliano,425337,https://open.spotify.com/track/3cS6YsU197mrdPTyR7nbp7
65,Cake By The Ocean,DNCE,423707,https://open.spotify.com/track/7L5jgZtAyfiU7elB8DIqCx
66,Estaca Zero,Luan Santana,423353,https://open.spotify.com/track/5OZqnhkGUxuSuW2P7CzH7y
67,Suíte 14 - Ao Vivo,Henrique & Diego,421354,https://open.spotify.com/track/4lbPwb1Beo7JU2VwuJRTeR
68,Fantasma,Luan Santana,419034,https://open.spotify.com/track/5Nw3HvX6k8cB7NjEkqJkij
69,Send My Love (To Your New Lover),Adele,414617,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
70,Quase um Casal - Ao Vivo,Maiara & Maraisa,413200,https://open.spotify.com/track/3BhctwMUY5Y9xmes194QTq
71,Hear Me Now,Alok,407253,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
72,Work,Rihanna,402938,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
73,Scars To Your Beautiful,Alessia Cara,402614,https://open.spotify.com/track/42ydLwx4i5V49RXHOozJZq
74,Work from Home,Fifth Harmony,400843,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb
75,Starving,Hailee Steinfeld,396651,https://open.spotify.com/track/6DG2g1UhROp5pnM8fx7zH2
76,Tudo de Bom,Mc Livinho,395660,https://open.spotify.com/track/5XRtwljsug3r3XOBy9Bndu
77,Incerteza - Na Praia / Ao Vivo,Matheus & Kauan,393436,https://open.spotify.com/track/1FTsXXwai3jVXhBTLd4e4L
78,Faz Parte - Ao Vivo,Projota,393243,https://open.spotify.com/track/0J1TzQOuHyS7KA6Sq33flE
79,"i hate u, i love u (feat. olivia o'brien)",gnash,389364,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
80,Amei Te Ver,Tiago Iorc,388326,https://open.spotify.com/track/709JwRc9hLS8fjfgXlwxA5
81,Aquele 1% - Ao Vivo,Marcos & Belutti,382743,https://open.spotify.com/track/62LiYpeFoJaixqkaNRGg47
82,Stressed Out,Twenty One Pilots,382398,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
83,Essa mina é louca (Participação especial Jhama),Anitta,381564,https://open.spotify.com/track/5Bn6W4bwH7Bw5nMvn8V4xF
84,Shout Out to My Ex,Little Mix,375632,https://open.spotify.com/track/6wZ8kvKP9d1MKlNFTMZrBK
85,Na Ponta Ela Fica,Mc Delano,369656,https://open.spotify.com/track/1OtZIaJBXo3Pe6nfaMsjKT
86,Capsize,FRENSHIP,366336,https://open.spotify.com/track/3GBlLqIYgB8zWaeWDNJzdh
87,Perfect Illusion,Lady Gaga,364669,https://open.spotify.com/track/5ou59ERA2f7ffyAxAcZyVz
88,Ride,Twenty One Pilots,355695,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
89,Say You Won't Let Go,James Arthur,355681,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
90,Alarm,Anne-Marie,355463,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
91,Os Anjos Cantam,Jorge & Mateus,354569,https://open.spotify.com/track/6ccKu0LwJzOhLAxBwP2PTk
92,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,353043,https://open.spotify.com/track/4dASQiO1Eoo3RJvt74FtXB
93,Antônimos - Ao Vivo,Jorge & Mateus,351096,https://open.spotify.com/track/3SWIpewrd1V1iw09lim55f
94,Fake Love,Drake,350885,https://open.spotify.com/track/6NMNgWgEAzde5M8U3lc6FN
95,Made In Roça,Loubet,343371,https://open.spotify.com/track/7clSIA4MRU6LJAoCWWEiuy
96,Perfect Strangers,Jonas Blue,333848,https://open.spotify.com/track/1CUVN2kn7mW5FjkqXTR2W1
97,Love Yourself,Justin Bieber,333423,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
98,Chantaje,Shakira,332795,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
99,Rg,Luan Santana,330622,https://open.spotify.com/track/5oVVAwRQnXJDEHFNeganG0
100,Photograph,Ed Sheeran,312148,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL
101,Final Song,MØ,300338,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
102,DUELE EL CORAZON,Enrique Iglesias,295563,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
103,Lean On (feat. MØ & DJ Snake),Major Lazer,291186,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
104,Panda,Desiigner,286508,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
105,Agora Eu Quero Ir,Anavitória,284902,https://open.spotify.com/track/2yGnStdGP0V45lPXAJpmDb
106,The Ocean,Mike Perry,283223,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
107,Acordando o Prédio,Luan Santana,281664,https://open.spotify.com/track/4MHixqOTi1FrQiatxuUqke
108,Mesmo Sem Estar,Luan Santana,275929,https://open.spotify.com/track/5zNK9ZyCrrJFlGgMMv2Xt7
109,Needed Me,Rihanna,274923,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
110,Too Good,Drake,271154,https://open.spotify.com/track/11KJSRSgaDxqydKYiD2Jew
111,Call On Me - Ryan Riback Extended Remix,Starley,270683,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
112,De Buenas,Lucas Lucco,267941,https://open.spotify.com/track/4NpFX0f0GfJgy92c9ypVxk
113,A-YO,Lady Gaga,267841,https://open.spotify.com/track/6FopJmIHgp2ADIHEDrJixZ
114,7 Years,Lukas Graham,264012,https://open.spotify.com/track/5kqIPrATaCc2LqxVWzQGbk
115,Sentimento Louco - Ao Vivo,Marília Mendonça,258724,https://open.spotify.com/track/5YdC74tZejyq3vurDOLFYz
116,Let Me Hold You (Turn Me On),Dante Klein,252304,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
117,Singular,Anavitória,247434,https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX
118,What Do You Mean?,Justin Bieber,246841,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI
119,Into You,Ariana Grande,246530,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
120,That's My Girl,Fifth Harmony,244074,https://open.spotify.com/track/2ACOWPLUe4A4KuQ5ioD2od
121,PILLOWTALK,ZAYN,241819,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1
122,"Dia, Lugar e Hora",Luan Santana,240143,https://open.spotify.com/track/0bAtYUcHyGlOj5R3eNjHhA
123,Chandelier,Sia,239228,https://open.spotify.com/track/4VrWlk8IQxevMvERoX08iC
124,No Money,Galantis,236556,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
125,Deixa a Gente Quieto - Ao Vivo,João Bosco & Vinicius,235438,https://open.spotify.com/track/4PNi30UilK0CZi2z9wegMQ
126,Kill Em With Kindness,Selena Gomez,234002,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
127,This Town,Niall Horan,231948,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7
128,Would I Lie To You - Radio Edit,David Guetta,226267,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2
129,Hotline Bling,Drake,225764,https://open.spotify.com/track/2FBUoWkIuQXwayw2RNo5l6
130,Sou eu,Ludmilla,225407,https://open.spotify.com/track/1Tn0msQvQMbD6woO9VnEG3
131,Controlla,Drake,221983,https://open.spotify.com/track/4CpKEkdGbOJV51cSvx7SoG
132,Black Beatles,Rae Sremmurd,221967,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo
133,Primeira Semana,Luan Santana,220431,https://open.spotify.com/track/6e7igqDoZCV0Ign4L4JoxY
134,Adventure Of A Lifetime,Coldplay,219582,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M
135,Faded,Alan Walker,219020,https://open.spotify.com/track/1brwdYwjltrJo7WHpIvbYt
136,Setting Fires,The Chainsmokers,218778,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
137,Saudade do Meu Ex - Ao Vivo | Acústico,Marília Mendonça,218760,https://open.spotify.com/track/5ZCwyAL9zbEJVmmNQwt9lE
138,Minha Felicidade,Roberta Campos,218470,https://open.spotify.com/track/6vARbzVXg90V8fYmgks5u3
139,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,David Guetta,218029,https://open.spotify.com/track/46NBoIAHrmR7qcUGCIFEjR
140,Amor Mal Resolvido - Ao Vivo,Simone & Simaria,215080,https://open.spotify.com/track/2uhk6Fi514vtRKxKAn93zm
141,Me Espera,Sandy,214493,https://open.spotify.com/track/4xHkRNzzHtj3O3Z1pjYWRC
142,Duvido Você Não Tomar Uma - Ao Vivo,Simone & Simaria,214243,https://open.spotify.com/track/6S8yTw0KfidwuAq5Y6Bygj
143,Stitches,Shawn Mendes,212705,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
144,How Deep Is Your Love,Calvin Harris,212174,https://open.spotify.com/track/22mek4IiqubGD9ctzxc69s
145,Bang,Anitta,210989,https://open.spotify.com/track/1Cml3fnCNLZUC1EEtkcgVb
146,Sugar,Maroon 5,209024,https://open.spotify.com/track/494OU6M7NOf4ICYb4zWCf5
147,Fresh Eyes,Andy Grammer,206621,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3
148,You & Me,Marc E. Bassy,205813,https://open.spotify.com/track/0qRZ9ydGdzeVk3S01pLGoJ
149,"Dia, Lugar e Hora",Luan Santana,204154,https://open.spotify.com/track/4404ixp3ApDtyRwje7Kgu4
150,Juju On That Beat (TZ Anthem),Zay Hilfigerrr,201525,https://open.spotify.com/track/1lItf5ZXJc1by9SbPeljFd
151,Partiu,MC Kekel,201257,https://open.spotify.com/track/1LTxGBL6yKtfmW3K8EvbSY
152,Light It Up (feat. Nyla & Fuse ODG) - Remix,Major Lazer,200303,https://open.spotify.com/track/6lDo13SSgTv0WbyUQKgnjk
153,Do I Wanna Know?,Arctic Monkeys,199239,https://open.spotify.com/track/2UzMpPKPhbcC8RbsmuURAZ
154,Sexual,NEIKED,199142,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
155,Plano da Meia Noite,Luan Santana,196140,https://open.spotify.com/track/6xftwmiLCywyXVjLVSsJhK
156,Quem Tava Lá?,Costa Gold,196092,https://open.spotify.com/track/3NBA1vKfDlg0iTDt7WJbaW
157,Hymn For The Weekend,Coldplay,195311,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy
158,Cheia de Marra,Mc Livinho,194048,https://open.spotify.com/track/4gvePWCd0GfkC40QshflUy
159,Roses,The Chainsmokers,192215,https://open.spotify.com/track/3vv9phIu6Y1vX3jcqaGz5Z
160,Amor de Interior,Luan Santana,192188,https://open.spotify.com/track/1wcWGNOBZnPdM25nF15Rf6
161,Meu Violão E O Nosso Cachorro - Ao Vivo,Simone & Simaria,191780,https://open.spotify.com/track/68y9Wxhai4e17Ywvnz76vY
162,Hoje Somos Só Metade - Ao Vivo,Marília Mendonça,190657,https://open.spotify.com/track/2bKuHYkbEpKgNNVQ0eGJlB
163,Km 70,Luan Santana,190377,https://open.spotify.com/track/6ETnoOdfcnwTMA65sbZHfE
164,Regime Fechado - Ao Vivo,Simone & Simaria,190360,https://open.spotify.com/track/6UZJOc2HBrTp9DYfir9N8n
165,Você Faz Falta Aqui - Ao Vivo | Acústico,Maiara & Maraisa,189593,https://open.spotify.com/track/19Ggp86mkEnRw93u91IJPO
166,Company,Justin Bieber,188305,https://open.spotify.com/track/09mhA1SJjMHniZPF4Hcihn
167,Sugar (feat. Francesco Yates),Robin Schulz,186741,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
168,Million Reasons,Lady Gaga,186459,https://open.spotify.com/track/50PWlIBU7PlGGwzgN8TiFJ
169,Middle,DJ Snake,183441,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n
170,Folgado - Ao Vivo,Marília Mendonça,183167,https://open.spotify.com/track/4DYmJ19DhmxUe26QhANDYv
171,All In My Head (Flex),Fifth Harmony,180077,https://open.spotify.com/track/7nD9nN3jord9wWcfW3Gkcm
172,Bitch Better Have My Money,Rihanna,179478,https://open.spotify.com/track/5lnsCyEKWofnC00U4Ax0ti
173,Gold,Kiiara,179459,https://open.spotify.com/track/6ZSO7kPn8IMJFymyticbJO
174,"Me, Myself & I",G-Eazy,179187,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
175,The Scientist,Coldplay,178958,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle
